국가명,국가코드,기준연도,gdp성장률
Denmark,DNK,2016,3.245957
Denmark,DNK,2017,2.821736
Denmark,DNK,2018,1.989537
Denmark,DNK,2019,1.493487
Denmark,DNK,2020,-1.994608
Denmark,DNK,2021,4.855708
Denmark,DNK,2022,3.819018
Finland,FIN,1971,2.35692
Finland,FIN,1972,7.735486
Finland,FIN,1973,6.983828
Finland,FIN,1974,3.236534
Finland,FIN,1975,1.804898
Finland,FIN,1976,0.344383
Finland,FIN,1977,0.23951
Finland,FIN,1978,2.919708
Finland,FIN,1979,7.121926
Finland,FIN,1980,5.389047
Finland,FIN,1981,1.315879
Finland,FIN,1982,3.108089
Finland,FIN,1983,3.116582
Finland,FIN,1984,3.237692
Finland,FIN,1985,3.548897
Finland,FIN,1986,2.755633
Finland,FIN,1987,3.574826
Finland,FIN,1988,5.21715
Finland,FIN,1989,5.087144
Finland,FIN,1990,0.670276
Finland,FIN,1991,-5.886328
Finland,FIN,1992,-3.29466
Finland,FIN,1993,-0.661998
Finland,FIN,1994,3.963052
Finland,FIN,1995,4.216867
Finland,FIN,1996,3.66718
Finland,FIN,1997,6.333796
Finland,FIN,1998,5.457181
Finland,FIN,1999,4.379576
Finland,FIN,2000,5.773362
Finland,FIN,2001,2.610019
Finland,FIN,2002,1.707149
Finland,FIN,2003,2.003784
Finland,FIN,2004,3.992091
Finland,FIN,2005,2.779851
Finland,FIN,2006,4.02741
Finland,FIN,2007,5.299337
Finland,FIN,2008,0.783995
Finland,FIN,2009,-8.074447
Finland,FIN,2010,3.185959
Finland,FIN,2011,2.547665
Finland,FIN,2012,-1.397546
Finland,FIN,2013,-0.901696
Finland,FIN,2014,-0.364908
Finland,FIN,2015,0.543659
Finland,FIN,2016,2.811458
Finland,FIN,2017,3.19241
Finland,FIN,2018,1.139718
Finland,FIN,2019,1.224749
Finland,FIN,2020,-2.354965
Finland,FIN,2021,3.046482
Finland,FIN,2022,2.083775
France,FRA,1951,5.791722
France,FRA,1952,3.113823
France,FRA,1953,3.456325
France,FRA,1954,5.57836
France,FRA,1955,5.311942
France,FRA,1956,4.987776
France,FRA,1957,5.516701
France,FRA,1958,2.695671
France,FRA,1959,2.671474
France,FRA,1960,7.991944
France,FRA,1961,4.980112
France,FRA,1962,6.84347
France,FRA,1963,6.23368
France,FRA,1964,6.652099
France,FRA,1965,4.861508
France,FRA,1966,5.251837
France,FRA,1967,4.921149
France,FRA,1968,4.491309
France,FRA,1969,7.109475
France,FRA,1970,6.10868
France,FRA,1971,5.316716
France,FRA,1972,4.511374
France,FRA,1973,6.344581
France,FRA,1974,4.300919
France,FRA,1975,-0.959885
France,FRA,1976,4.356759
France,FRA,1977,3.464312
France,FRA,1978,3.978544
France,FRA,1979,3.549989
France,FRA,1980,1.578745
France,FRA,1981,1.06902
France,FRA,1982,2.505397
France,FRA,1983,1.240865
France,FRA,1984,1.513722
France,FRA,1985,1.622781
France,FRA,1986,2.337276
France,FRA,1987,2.5619
France,FRA,1988,4.743142
France,FRA,1989,4.343861
France,FRA,1990,2.923935
France,FRA,1991,1.048176
France,FRA,1992,1.599343
France,FRA,1993,-0.628666
France,FRA,1994,2.358342
France,FRA,1995,2.106695
France,FRA,1996,1.412994
France,FRA,1997,2.336296
France,FRA,1998,3.588659
France,FRA,1999,3.421374
France,FRA,2000,3.923669
France,FRA,2001,1.983721
France,FRA,2002,1.135531
France,FRA,2003,0.823161
France,FRA,2004,2.829753
France,FRA,2005,1.66322
France,FRA,2006,2.449324
France,FRA,2007,2.424736
France,FRA,2008,0.254946
France,FRA,2009,-2.873314
France,FRA,2010,1.949438
France,FRA,2011,2.192701
France,FRA,2012,0.313135
France,FRA,2013,0.576327
France,FRA,2014,0.956183
France,FRA,2015,1.112912
France,FRA,2016,1.095464
France,FRA,2017,2.29142
France,FRA,2018,1.865066
France,FRA,2019,1.842972
France,FRA,2020,-7.784586
France,FRA,2021,6.816589
France,FRA,2022,2.562394
Germany,DEU,1971,3.1327
Germany,DEU,1972,4.300341
Germany,DEU,1973,4.777487
Germany,DEU,1974,0.890069
Germany,DEU,1975,-0.866739
Germany,DEU,1976,4.949258
Germany,DEU,1977,3.347218
Germany,DEU,1978,3.008493
Germany,DEU,1979,4.150363
Germany,DEU,1980,1.408829
Germany,DEU,1981,0.529241
Germany,DEU,1982,-0.394841
Germany,DEU,1983,1.57241
Germany,DEU,1984,2.822948
Germany,DEU,1985,2.327935
Germany,DEU,1986,2.287339
Germany,DEU,1987,1.402152
Germany,DEU,1988,3.707236
Germany,DEU,1989,3.896552
Germany,DEU,1990,5.255006
Germany,DEU,1991,5.108262
Germany,DEU,1992,1.923077
Germany,DEU,1993,-0.97685
Germany,DEU,1994,2.391892
Germany,DEU,1995,1.544146
Germany,DEU,1996,0.805823
Germany,DEU,1997,1.792161
Germany,DEU,1998,2.013933
Germany,DEU,1999,1.887261
Germany,DEU,2000,2.912503
Germany,DEU,2001,1.681468
Germany,DEU,2002,-0.197974
Germany,DEU,2003,-0.700117
Germany,DEU,2004,1.175088
Germany,DEU,2005,0.731707
Germany,DEU,2006,3.816442
Germany,DEU,2007,2.976455
Germany,DEU,2008,0.959879
Germany,DEU,2009,-5.693836
Germany,DEU,2010,4.179882
Germany,DEU,2011,3.925193
Germany,DEU,2012,0.418498
Germany,DEU,2013,0.437591
Germany,DEU,2014,2.209543
Germany,DEU,2015,1.491932
Germany,DEU,2016,2.23
Germany,DEU,2017,2.680231
Germany,DEU,2018,0.981233
Germany,DEU,2019,1.056604
Germany,DEU,2020,-3.696789
Germany,DEU,2021,2.626987
Germany,DEU,2022,1.785208
Greece,GRC,1961,13.203841
Greece,GRC,1962,0.364811
Greece,GRC,1963,11.844868
Greece,GRC,1964,9.409677
Greece,GRC,1965,10.76801
Greece,GRC,1966,6.494502
Greece,GRC,1967,5.669485
Greece,GRC,1968,7.203719
Greece,GRC,1969,11.563667
Greece,GRC,1970,8.930581
Greece,GRC,1971,7.841177
Greece,GRC,1972,10.160151
Greece,GRC,1973,8.092379
Greece,GRC,1974,-6.438241
Greece,GRC,1975,6.366809
Greece,GRC,1976,6.851898
Greece,GRC,1977,2.941002
Greece,GRC,1978,7.246863
Greece,GRC,1979,3.28208
Greece,GRC,1980,0.677131
Greece,GRC,1981,-1.553721
Greece,GRC,1982,-1.132648
Greece,GRC,1983,-1.078622
Greece,GRC,1984,2.01058
Greece,GRC,1985,2.509557
Greece,GRC,1986,0.51766
Greece,GRC,1987,-2.258863
Greece,GRC,1988,4.287862
Greece,GRC,1989,3.8
Greece,GRC,1990,0.0
Greece,GRC,1991,3.1
Greece,GRC,1992,0.7
Greece,GRC,1993,-1.6
Greece,GRC,1994,2.0
Greece,GRC,1995,2.09972
Greece,GRC,1996,2.862129
Greece,GRC,1997,4.484199
Greece,GRC,1998,3.894905
Greece,GRC,1999,3.072597
Greece,GRC,2000,3.919771
Greece,GRC,2001,4.131612
Greece,GRC,2002,3.922872
Greece,GRC,2003,5.794531
Greece,GRC,2004,5.060993
Greece,GRC,2005,0.599142
Greece,GRC,2006,5.652434
Greece,GRC,2007,3.273747
Greece,GRC,2008,-0.335173
Greece,GRC,2009,-4.300734
Greece,GRC,2010,-5.478218
Greece,GRC,2011,-10.149315
Greece,GRC,2012,-7.086697
Greece,GRC,2013,-2.515997
Greece,GRC,2014,0.475696
Greece,GRC,2015,-0.196087
Greece,GRC,2016,-0.487173
Greece,GRC,2017,1.092149
Greece,GRC,2018,1.668428
Greece,GRC,2019,1.884342
Greece,GRC,2020,-9.004044
Greece,GRC,2021,8.434426
Greece,GRC,2022,5.913708
Spain,ESP,1971,4.649473
Spain,ESP,1972,8.149746
Spain,ESP,1973,7.788465
Spain,ESP,1974,5.618786
Spain,ESP,1975,0.542203
Spain,ESP,1976,3.303792
Spain,ESP,1977,2.838574
Spain,ESP,1978,1.463003
Spain,ESP,1979,0.041547
Spain,ESP,1980,2.208728
Spain,ESP,1981,-0.132469
Spain,ESP,1982,1.246462
Spain,ESP,1983,1.770116
Spain,ESP,1984,1.784688
Spain,ESP,1985,2.321436
Spain,ESP,1986,3.253322
Spain,ESP,1987,5.547123
Spain,ESP,1988,5.094324
Spain,ESP,1989,4.82703
Spain,ESP,1990,3.781393
Spain,ESP,1991,2.546001
Spain,ESP,1992,0.929215
Spain,ESP,1993,-1.031492
Spain,ESP,1994,2.383195
Spain,ESP,1995,2.757494
Spain,ESP,1996,2.660562
Spain,ESP,1997,3.702495
Spain,ESP,1998,4.393101
Spain,ESP,1999,4.490553
Spain,ESP,2000,5.245944
Spain,ESP,2001,3.933003
Spain,ESP,2002,2.730948
Spain,ESP,2003,2.981936
Spain,ESP,2004,3.122734
Spain,ESP,2005,3.652084
Spain,ESP,2006,4.102686
Spain,ESP,2007,3.604738
Spain,ESP,2008,0.887067
Spain,ESP,2009,-3.763107
Spain,ESP,2010,0.16292
Spain,ESP,2011,-0.814385
Spain,ESP,2012,-2.958922
Spain,ESP,2013,-1.403342
Spain,ESP,2014,1.395775
Spain,ESP,2015,3.838519
Spain,ESP,2016,3.037774
Spain,ESP,2017,2.975761
Spain,ESP,2018,2.284469
