국가명,국가코드,기준연도,gdp
Canada,CAN,2009,1571334.0
Canada,CAN,2010,1666046.0
Canada,CAN,2011,1774063.0
Canada,CAN,2012,1827205.0
Canada,CAN,2013,1902249.0
Canada,CAN,2014,1994897.0
Canada,CAN,2015,1990442.0
Canada,CAN,2016,2025533.0
Canada,CAN,2017,2140641.0
Canada,CAN,2018,2235672.0
Canada,CAN,2019,2313563.0
Canada,CAN,2020,2209681.0
Canada,CAN,2021,2509618.0
Canada,CAN,2022,2785119.0
Canada,CAN,1982,-3.187262
Canada,CAN,1983,2.601339
Canada,CAN,1984,5.908457
Canada,CAN,1985,4.7374
Canada,CAN,1986,2.144972
Canada,CAN,1987,4.072959
Canada,CAN,1988,4.410111
Canada,CAN,1989,2.316979
Canada,CAN,1990,0.164673
Canada,CAN,1991,-2.086085
Canada,CAN,1992,0.90026
Canada,CAN,1993,2.660857
Canada,CAN,1994,4.494466
Canada,CAN,1995,2.693976
Canada,CAN,1996,1.619172
Canada,CAN,1997,4.28004
Canada,CAN,1998,3.896152
Canada,CAN,1999,5.162914
Canada,CAN,2000,5.177636
Canada,CAN,2001,1.789973
Canada,CAN,2002,3.018051
Canada,CAN,2003,1.801518
Canada,CAN,2004,3.086981
Canada,CAN,2005,3.2042
Canada,CAN,2006,2.634304
Canada,CAN,2007,2.071825
Canada,CAN,2008,1.004289
Canada,CAN,2009,-2.925956
Canada,CAN,2010,3.089919
Canada,CAN,2011,3.1461
Canada,CAN,2012,1.760962
Canada,CAN,2013,2.329123
Canada,CAN,2014,2.870036
Canada,CAN,2015,0.659177
Canada,CAN,2016,1.001394
Canada,CAN,2017,3.03988
Canada,CAN,2018,2.777041
Canada,CAN,2019,1.888224
Canada,CAN,2020,-5.074358
Canada,CAN,2021,5.011801
Canada,CAN,2022,3.396202
Czech Republic,CZE,1990,731206.852
Czech Republic,CZE,1991,880180.896
Czech Republic,CZE,1992,983937.724
Czech Republic,CZE,1993,1191388.325
Czech Republic,CZE,1994,1377368.118
Czech Republic,CZE,1995,1596306.0
Czech Republic,CZE,1996,1829255.0
Czech Republic,CZE,1997,1971024.0
Czech Republic,CZE,1998,2156624.0
Czech Republic,CZE,1999,2252983.0
Czech Republic,CZE,2000,2386289.0
Czech Republic,CZE,2001,2579126.0
Czech Republic,CZE,2002,2690982.0
Czech Republic,CZE,2003,2823452.0
Czech Republic,CZE,2004,3079207.0
Czech Republic,CZE,2005,3285601.0
Czech Republic,CZE,2006,3530881.0
Czech Republic,CZE,2007,3859533.0
Czech Republic,CZE,2008,4042860.0
Czech Republic,CZE,2009,3954320.0
Czech Republic,CZE,2010,3992870.0
Czech Republic,CZE,2011,4062323.0
Czech Republic,CZE,2012,4088912.0
Czech Republic,CZE,2013,4142811.0
Czech Republic,CZE,2014,4345766.0
Czech Republic,CZE,2015,4625378.0
Czech Republic,CZE,2016,4796873.0
Czech Republic,CZE,2017,5110743.0
Czech Republic,CZE,2018,5410761.0
Czech Republic,CZE,2019,5791498.0
Czech Republic,CZE,2020,5709131.0
Czech Republic,CZE,2021,6108717.0
Czech Republic,CZE,2022,6795101.0
Czech Republic,CZE,1991,-11.614942
Czech Republic,CZE,1992,-0.506542
Czech Republic,CZE,1993,0.061904
Czech Republic,CZE,1994,2.909309
Czech Republic,CZE,1995,6.500814
Czech Republic,CZE,1996,4.265417
Czech Republic,CZE,1997,-0.518331
Czech Republic,CZE,1998,-0.356567
Czech Republic,CZE,1999,1.384149
Czech Republic,CZE,2000,4.001029
Czech Republic,CZE,2001,3.042977
Czech Republic,CZE,2002,1.569855
Czech Republic,CZE,2003,3.583688
Czech Republic,CZE,2004,4.814261
Czech Republic,CZE,2005,6.601618
Czech Republic,CZE,2006,6.766933
Czech Republic,CZE,2007,5.570339
Czech Republic,CZE,2008,2.686412
Czech Republic,CZE,2009,-4.657331
Czech Republic,CZE,2010,2.434902
Czech Republic,CZE,2011,1.76036
Czech Republic,CZE,2012,-0.785004
Czech Republic,CZE,2013,-0.045904
Czech Republic,CZE,2014,2.262103
Czech Republic,CZE,2015,5.388381
Czech Republic,CZE,2016,2.537285
Czech Republic,CZE,2017,5.168724
Czech Republic,CZE,2018,3.220088
Czech Republic,CZE,2019,3.029879
Czech Republic,CZE,2020,-5.502968
Czech Republic,CZE,2021,3.552722
Czech Republic,CZE,2022,2.460919
Denmark,DNK,1966,82414.195
Denmark,DNK,1967,90845.93
Denmark,DNK,1968,101291.804
Denmark,DNK,1969,115611.767
Denmark,DNK,1970,128065.932
Denmark,DNK,1971,141736.366
Denmark,DNK,1972,161448.778
Denmark,DNK,1973,185904.926
Denmark,DNK,1974,208204.495
Denmark,DNK,1975,232574.033
Denmark,DNK,1976,269461.27
Denmark,DNK,1977,298865.341
Denmark,DNK,1978,332877.424
Denmark,DNK,1979,370196.799
Denmark,DNK,1980,400867.639
Denmark,DNK,1981,440780.42
Denmark,DNK,1982,503383.987
Denmark,DNK,1983,554596.533
Denmark,DNK,1984,612129.296
Denmark,DNK,1985,663955.253
Denmark,DNK,1986,712645.248
Denmark,DNK,1987,748427.484
Denmark,DNK,1988,777843.987
Denmark,DNK,1989,821733.896
Denmark,DNK,1990,855557.153
Denmark,DNK,1991,890550.722
Denmark,DNK,1992,923014.182
Denmark,DNK,1993,928466.126
Denmark,DNK,1994,993286.477
Denmark,DNK,1995,1036482.553
Denmark,DNK,1996,1088023.687
Denmark,DNK,1997,1146129.39
Denmark,DNK,1998,1185987.558
Denmark,DNK,1999,1241520.747
Denmark,DNK,2000,1326911.504
Denmark,DNK,2001,1371526.218
Denmark,DNK,2002,1410271.027
Denmark,DNK,2003,1436751.24
Denmark,DNK,2004,1506000.798
