"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","1993","1993","PC","Percentage","0","Units",,,3.980923,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","1994","1994","PC","Percentage","0","Units",,,3.887106,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","1995","1995","PC","Percentage","0","Units",,,3.856841,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","1996","1996","PC","Percentage","0","Units",,,3.912835,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","1997","1997","PC","Percentage","0","Units",,,4.613357,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","1998","1998","PC","Percentage","0","Units",,,4.956325,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","1999","1999","PC","Percentage","0","Units",,,3.901171,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","2000","2000","PC","Percentage","0","Units",,,2.041417,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","2001","2001","PC","Percentage","0","Units",,,3.99359,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","2002","2002","PC","Percentage","0","Units",,,3.111398,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","2003","2003","PC","Percentage","0","Units",,,4.216633,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","2004","2004","PC","Percentage","0","Units",,,3.153753,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","2005","2005","PC","Percentage","0","Units",,,2.740636,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","2006","2006","PC","Percentage","0","Units",,,3.777917,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","2007","2007","PC","Percentage","0","Units",,,3.56827,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","2008","2008","PC","Percentage","0","Units",,,1.870487,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","2009","2009","PC","Percentage","0","Units",,,2.206566,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","2010","2010","PC","Percentage","0","Units",,,2.391385,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","2011","2011","PC","Percentage","0","Units",,,3.902008,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","2012","2012","PC","Percentage","0","Units",,,2.578754,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","2013","2013","PC","Percentage","0","Units",,,2.579017,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,2.152736,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","2015","2015","PC","Percentage","0","Units",,,2.730548,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","2016","2016","PC","Percentage","0","Units",,,2.282184,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","2017","2017","PC","Percentage","0","Units",,,2.883045,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","2018","2018","PC","Percentage","0","Units",,,2.171396,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","2019","2019","PC","Percentage","0","Units",,,-0.050885,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","2020","2020","PC","Percentage","0","Units",,,2.236212,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","2021","2021","PC","Percentage","0","Units",,,3.617589,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","1970","1970","EUR","Euro","6","Millions",,,29047.294,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","1971","1971","EUR","Euro","6","Millions",,,32427.439,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","1972","1972","EUR","Euro","6","Millions",,,37057.943,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","1973","1973","EUR","Euro","6","Millions",,,41997.559,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","1974","1974","EUR","Euro","6","Millions",,,47801.145,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","1975","1975","EUR","Euro","6","Millions",,,50702.938,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","1976","1976","EUR","Euro","6","Millions",,,56006.921,"E","Estimated value"
